6533.59 -0.0128917 0
6533.63 -0.0185838 0
6533.67 -0.0258835 0
6533.7 -0.034582 0
6533.74 -0.0451039 0
6533.78 -0.057285 0
6533.82 -0.0712331 0
6533.85 -0.086295 0
6533.89 -0.10049 0
6533.93 -0.113051 0
6533.97 -0.121939 0
6534 -0.126136 0
6534.04 -0.126126 0
6534.08 -0.120653 0
6534.11 -0.112976 0
6534.15 -0.102185 0
6534.19 -0.0910977 0
6534.23 -0.0795862 0
6534.26 -0.0685914 0
6534.3 -0.05863 0
6534.34 -0.0500429 0
6534.38 -0.0443981 0
6534.41 -0.0399775 0
6534.45 -0.038587 0
6534.49 -0.0377724 0
6534.53 -0.03842 0
6534.56 -0.0393825 0
6534.6 -0.0409334 0
6534.64 -0.0424772 0
6534.68 -0.0438016 0
6534.71 -0.0448742 0
6534.75 -0.0453702 0
6534.79 -0.0454259 0
6534.82 -0.0446735 0
6534.86 -0.0436459 0
6534.9 -0.0426717 0
6534.94 -0.0415131 0
6534.97 -0.0396887 0
6535.01 -0.0371639 0
6535.05 -0.0335212 0
6535.09 -0.0290297 0
6535.12 -0.0241498 0
6535.16 -0.0191807 0
6535.2 -0.0150526 0
6535.23 -0.0118228 0
6535.27 -0.0091455 0
6535.31 -0.00706075 0
6535.35 -0.00499133 0
6535.38 -0.00300671 0
6535.42 -0.00141255 0
6535.46 -0.000486045 0
6535.5 -0.000381606 0
6535.53 -0.00167072 0
6535.57 -0.00335962 0
6535.61 -0.00579771 0
6535.65 -0.00809459 0
6535.68 -0.0100829 0
6535.72 -0.0117242 0
6535.76 -0.0125142 0
6535.79 -0.0129887 0
6535.83 -0.0126768 0
6535.87 -0.0123471 0
6535.91 -0.0121091 0
6535.94 -0.0122422 0
6535.98 -0.0133532 0
6536.02 -0.0145247 0
6536.06 -0.015307 0
6536.09 -0.0155557 0
6536.13 -0.0145862 0
6536.17 -0.0130512 0
6536.2 -0.0111557 0
6536.24 -0.00946101 0
6536.28 -0.0089229 0
6536.32 -0.00928041 0
6536.35 -0.0105041 0
6536.39 -0.0129988 0
6536.43 -0.0180168 0
6536.47 -0.0257764 0
6536.5 -0.0365059 0
6536.54 -0.0498505 0
6536.58 -0.0627256 0
6536.61 -0.0744213 0
6536.65 -0.0827845 0
6536.69 -0.0864448 0
6536.73 -0.0866464 0
6536.76 -0.0816735 0
6536.8 -0.0747664 0
6536.84 -0.0646823 0
6536.88 -0.0542615 0
6536.91 -0.0432433 0
6536.95 -0.0329335 0
6536.99 -0.0241428 0
6537.03 -0.0167032 0
6537.06 -0.0126217 0
6537.1 -0.00973455 0
6537.14 -0.00986167 0
6537.18 -0.0103614 0
6537.21 -0.0113374 0
6537.25 -0.0119604 0
6537.29 -0.0114906 0
6537.32 -0.0106002 0
6537.36 -0.00914196 0
6537.4 -0.00774508 0
6537.44 -0.00698911 0
6537.47 -0.00658656 0
6537.51 -0.00656824 0
6537.55 -0.00653617 0
6537.59 -0.00590433 0
6537.62 -0.00469551 0
6537.66 -0.00265759 0
6537.7 -0.000231619 0
6537.73 0.00166522 0
6537.77 0.00290791 0
6537.81 0.00321089 0
6537.85 0.00256861 0
6537.88 0.00143664 0
6537.92 -8.26188e-05 0
6537.96 -0.00105568 0
6538 -0.00136644 0
6538.03 -0.00154594 0
6538.07 -0.00157904 0
